"Category","Test ID","Section","Test Case Description","Priority","Expected Result","Actual Result","Status","Tester","Notes"
"Navigation","NAV-001","Homepage","Verify Sto. Rosario Parish logo displays and links to home page","High","Logo visible in top-left corner; clicking it navigates to homepage","","Not Tested","",""
"Navigation","NAV-002","Homepage","Verify desktop navigation bar shows all menu items on scroll","High","Navbar shows Parish Services (dropdown), Community (dropdown), Track, Donate buttons; on scroll navbar background changes to white with shadow","","Not Tested","",""
"Navigation","NAV-003","Homepage","Verify Parish Services dropdown menu","Medium","Dropdown shows Mass Schedule, Submit Intention, Sacramental Inquiry sub-items; clicking navigates to correct page","","Not Tested","",""
"Navigation","NAV-004","Homepage","Verify Community dropdown menu","Medium","Dropdown shows Parish Events, Gallery, About Our Parish sub-items; clicking navigates to correct page","","Not Tested","",""
"Navigation","NAV-005","Homepage","Verify mobile hamburger menu","High","On mobile/tablet hamburger icon appears; clicking opens full-screen drawer menu with all navigation links","","Not Tested","",""
"Navigation","NAV-006","Homepage","Verify mobile menu Donate button","High","Mobile drawer has sticky Donate button at bottom that links to /donate","","Not Tested","",""
"Navigation","NAV-007","Homepage","Verify footer displays contact info and quick links","High","Footer shows parish name, address, contact numbers, office email, Facebook link, and quick links","","Not Tested","",""
"Navigation","NAV-008","Homepage","Verify announcements and bulletins reachable from homepage","Medium","Announcements and bulletins are not in navbar dropdown but accessible via homepage CTA links and footer","","Not Tested","",""
"Navigation","NAV-009","All Pages","Verify back to top button","Low","Floating back-to-top button appears after scrolling down; clicking scrolls smoothly to page top","","Not Tested","",""
"Public Pages","PAGE-001","Homepage","Verify hero section with background image and title","High","Full-screen hero with church background image, Sto. Rosario Parish title in Canterbury font, location subtitle","","Not Tested","",""
"Public Pages","PAGE-002","Homepage","Verify hero CTA buttons","High","Three buttons visible: Mass Schedule (ghost), Offer an Intention (gold), Parish Inquiry (ghost); all navigate correctly","","Not Tested","",""
"Public Pages","PAGE-003","Homepage","Verify next mass countdown/live mass slot component","High","Component shows next mass day/time with countdown timer and live mass indicator if applicable","","Not Tested","",""
"Public Pages","LIVE-001","Live Mass","Verify live mass embed during Sunday live window","High","On Sunday 9:55-11:15 AM, live mass section shows YouTube/Facebook tab toggle with working video embed","","Not Tested","",""
"Public Pages","LIVE-002","Live Mass","Verify sticky live mass banner on all pages","High","During live window, fixed bottom banner Live Mass is streaming now appears; clicking scrolls to #live-mass section","","Not Tested","",""
"Public Pages","PAGE-004","Homepage","Verify Quick Access cards grid","High","Four cards displayed: Mass Schedule, Offer Intention, Inquiry, Donate; all clickable with hover effects","","Not Tested","",""
"Public Pages","PAGE-005","Homepage","Verify parish stats strip","Medium","Stats strip shows 42+ Years of Service and 7 Weekly Masses with divider ornaments","","Not Tested","",""
"Public Pages","PAGE-006","Homepage","Verify upcoming events section","High","Shows up to 3 upcoming events with date badges, icons, times; View Full Schedule link navigates to events page","","Not Tested","",""
"Public Pages","PAGE-007","Homepage","Verify announcements carousel (featured)","High","Featured announcement shows with category badge, title, excerpt, Read more link, and optional recruitment/registration button","","Not Tested","",""
"Public Pages","PAGE-008","Homepage","Verify announcements carousel (pagination)","Medium","Carousel shows pagination dots and prev/next navigation; clicking changes visible cards","","Not Tested","",""
"Public Pages","PAGE-009","Homepage","Verify sacramental services grid","Medium","Six service cards shown: Baptism, Wedding, Confirmation, Funeral Mass, House Blessing, Car Blessing; each links to inquiry with type param","","Not Tested","",""
"Public Pages","PAGE-010","Homepage","Verify Offer a Mass Intention CTA section","Medium","Gold section with calligraphy cross, title Offer a Mass Intention, and two buttons (Submit Intention, Track Status)","","Not Tested","",""
"Public Pages","PAGE-014","Homepage","Verify View all announcements link","High","Homepage announcements section has View all announcements link that navigates to /announcements","","Not Tested","",""
"Public Pages","PAGE-011","About","Verify About page content loads","High","Page displays parish history, mission, possibly images and contact info","","Not Tested","",""
"Public Pages","PAGE-012","About","Verify Visit Parish Office anchor link","Medium","Link #visit-map in about page scrolls to map/contact section","","Not Tested","",""
"Public Pages","PAGE-013","About","Verify Google Maps embed or location info","Medium","Map or address information for Sto. Rosario Parish, Pacita Complex 1, San Pedro, Laguna is visible","","Not Tested","",""
"Public Pages","SCHED-001","Mass Schedule","Verify page loads with hero banner","High","Blue gradient hero section with title Mass Schedule and cross icon","","Not Tested","",""
"Public Pages","SCHED-002","Mass Schedule","Verify schedule category cards","High","Schedule cards grouped by type: Sunday Masses, Anticipated, Weekday Masses, Saturday Masses, Special Masses","","Not Tested","",""
"Public Pages","SCHED-003","Mass Schedule","Verify time chips display","High","Each schedule card shows time chips with formatted times (e.g., 6:30 AM)","","Not Tested","",""
"Public Pages","SCHED-004","Mass Schedule","Verify iCal download button","High","Download ICS button on each schedule card downloads .ics file with correct event data","","Not Tested","",""
"Public Pages","SCHED-005","Mass Schedule","Verify Google Calendar add button","High","Add to Google button opens Google Calendar with pre-filled event details","","Not Tested","",""
"Public Pages","SCHED-006","Mass Schedule","Verify Facebook link at bottom of page","High","Facebook link at bottom of page opens parish Facebook page in new tab","","Not Tested","",""
"Public Pages","SCHED-007","Mass Schedule","Verify empty state when no schedules","Low","When no schedules exist, displays No Schedules Available message with decorative cross","","Not Tested","",""
"Public Pages","SCHED-008","Mass Schedule","Verify responsive layout on mobile","High","On mobile, schedule sidebar becomes full-width at top with centered text; content below","","Not Tested","",""
"Public Pages","SCHED-009","Mass Schedule","Verify iCal feed endpoint","Medium","/calendar.ics route returns valid iCal feed with all events","","Not Tested","","Technical QA - download and validate .ics file"
"Public Pages","EVENTS-001","Events","Verify events list view","High","Default view shows events as cards with date badges, title, time slots, description, Google Cal and iCal links","","Not Tested","",""
"Public Pages","EVENTS-002","Events","Verify events calendar view","High","Calendar view shows month grid with event dots on dates; navigation between months works","","Not Tested","",""
"Public Pages","EVENTS-003","Events","Verify event detail page","High","Clicking event title navigates to /events/{id} showing full details including time slots and description","","Not Tested","",""
"Public Pages","EVENTS-004","Events","Verify empty state","Low","When no upcoming events, shows No Upcoming Events message","","Not Tested","",""
"Public Pages","EVENTS-005","Events","Verify View Announcements CTA at bottom","Medium","Gold button at bottom navigates to announcements page or Facebook","","Not Tested","",""
"Public Pages","GALLERY-001","Gallery","Verify gallery index page loads","High","Page displays gallery albums in grid layout or carousel with featured video option","","Not Tested","",""
"Public Pages","GALLERY-002","Gallery","Verify album browsing","High","Clicking an album opens album page showing images in a responsive grid/lightbox","","Not Tested","",""
"Public Pages","GALLERY-003","Gallery","Verify featured video","Medium","If album has featured video, video embed or thumbnail is displayed prominently","","Not Tested","",""
"Public Pages","GALLERY-004","Gallery","Verify image lightbox/modal","Medium","Clicking an image opens a modal/lightbox view with navigation arrows","","Not Tested","",""
"Public Pages","GALLERY-005","Gallery","Verify gallery all-items view","Medium","/gallery/all route shows admin-style gallery index with all images","","Not Tested","",""
"Public Pages","ANNOUNCE-001","Announcements","Verify announcements index page","High","List of announcements displayed with category badges and featured/recruitment tags","","Not Tested","",""
"Public Pages","ANNOUNCE-002","Announcements","Verify announcement detail page","High","Clicking announcement title opens single post with full content and category info","","Not Tested","",""
"Public Pages","ANNOUNCE-003","Announcements","Verify recruitment tag display","Medium","Announcements with is_recruitment=true show Recruitment badge and registration link if available","","Not Tested","",""
"Public Pages","ANNOUNCE-004","Announcements","Verify announcements index pagination","Medium","Index page paginates 12 announcements per page with working page navigation links","","Not Tested","",""
"Public Pages","ANNOUNCE-005","Announcements","Verify draft announcement hidden from public","High","Unpublished (draft) announcements do not appear on public index; direct URL returns 404","","Not Tested","",""
"Public Pages","ANNOUNCE-006","Announcements","Verify announcement expiry date","High","Announcement with expires_at in the past is hidden from public index and detail page","","Not Tested","",""
"Public Pages","ANNOUNCE-007","Announcements","Verify featured announcement hero on homepage","High","is_featured=true announcement appears as hero card; remaining announcements appear in carousel","","Not Tested","",""
"Public Pages","ANNOUNCE-008","Announcements","Verify category badge color coding","Medium","Each category (Parish Life, Liturgical, Sacraments, Formation) shows distinct badge color and icon on cards","","Not Tested","",""
"Public Pages","ANNOUNCE-009","Announcements","Verify detail page breadcrumb navigation","Medium","Detail page shows Home > Announcements > Title breadcrumb; Announcements link returns to index","","Not Tested","",""
